metric,value
total_shipments,98595
otd_eligible_shipments,78452
otif_eligible_shipments,74198
fill_measured_shipments,81792
full_fill_shipments,66551
full_fill_rate,0.8136614827856025
underfilled_rate,0.1863385172143975
otif_failure_shipments,27877
on_time_underfilled_shipments,10434
on_time_underfilled_share_of_otif_failures,0.3742870466692973
surveyed_shipments,3320
survey_response_coverage,0.03367310715553527
first_ship_date,2024-01-02
last_ship_date,2025-12-15
missing_ship_date_shipments,11976
missing_otd_result_shipments,8021
missing_otif_result_shipments,12275
unknown_customer_shipments,7
delivered_missing_delivery_date_shipments,4531
