rate_rank,carrier_key,scac,carrier_legal_name,primary_mode,carrier_status,total_shipments,official_kpi_shipments,late_shipments,on_time_delivery_rate,otif_rate,average_fill_rate,full_fill_eligible_shipments,full_fill_shipments,full_fill_rate,average_days_late,average_tracking_exceptions,customer_revenue_usd,carrier_cost_usd,accessorial_cost_usd,claims_paid_usd,gross_margin_usd,gross_margin_percentage,carrier_cost_per_shipment,complaint_rate,claim_rate,average_csat_score,otd_eligible_shipments,on_time_shipments,otif_eligible_shipments,otif_shipments
1,CAR14,SBFR,StoneBridge Freight,LTL,ACTIVE,4367,3864,957,0.7274280831671889,0.586269744835966,0.9874614162131462,3631,2910,0.8014321123657394,1.992018244013683,0.05656056789558049,2163772.27,730167.22,12952.06,26659.71,1406945.34,0.6502280112869734,167.2011037325395,0.0492328829860316,0.017632241813602016,3.185185185185185,3511,2554,3292,1930
2,CAR12,PJTC,PriorityJet Cargo,AIR,ACTIVE,4977,4367,1072,0.7303144654088051,0.6174142480211082,0.9862752194091561,4170,3528,0.8460431654676259,1.7122302158273381,0.056660638939119955,1373432.08,472148.43,15099.42,12589.15,888694.50,0.6470611200518922,94.86606992163954,0.04360056258790436,0.015873015873015872,3.2261904761904763,3975,2903,3790,2340
3,CAR11,NWCR,NorthWind Carriers,LTL,ACTIVE,5163,4562,1091,0.7351298858946346,0.5886743886743887,0.9872242676899813,4298,3410,0.793392275476966,2.0060790273556233,0.05752469494479954,2545126.97,856133.78,16130.68,36419.45,1652573.74,0.6493089576587999,165.8209916715088,0.046097230292465624,0.017238039899283363,3.1714285714285713,4119,3028,3885,2287
4,CAR07,CBSH,Coastal Bridge Shipping,LTL,ACTIVE,6413,5602,1340,0.7368937757706656,0.5817226890756303,0.9865554956114218,5237,4128,0.7882375405766661,1.9877650897226753,0.05520037423982536,3217569.70,1018671.61,20030.74,47936.26,2150961.83,0.6685051236030722,158.8447855917667,0.051925775767971305,0.0173085919226571,3.1629955947136565,5093,3753,4760,2769
5,CAR02,BLAL,BlueArrow Logistics,LTL,ACTIVE,10144,8903,2117,0.7377353815659068,0.5878795845931379,0.9869082021088957,8386,6676,0.7960887192940616,1.9885595423816953,0.06269716088328076,5032578.25,1664547.95,31184.70,71856.20,3296174.10,0.6549672824262593,164.09187204258674,0.05155757097791798,0.017350157728706624,3.335294117647059,8072,5955,7607,4472
6,CAR05,RDTL,RedTrail Transport,LTL,ACTIVE,7952,6900,1635,0.7378967617826226,0.5788034188034188,0.9882059056825365,6471,5122,0.7915314479987637,1.9853626081170992,0.06073943661971831,3905447.38,1272300.96,23481.94,63614.76,2569531.66,0.657935291398037,159.9976056338028,0.044642857142857144,0.017982897384305835,3.1986062717770034,6238,4603,5850,3386
7,CAR06,SMHL,Summit Haulage,FTL,ACTIVE,4971,4399,1040,0.7387591057523235,0.4976237070170534,0.9950141055049677,3960,2671,0.6744949494949495,1.8354297693920336,0.06095353047676524,14890602.71,4575622.87,14745.88,93291.55,10221688.29,0.6864522873298793,920.4632609132972,0.044256688795011066,0.014685174009253671,3.2565789473684212,3981,2941,3577,1780
8,CAR08,HLCG,Heartland Cargo,FTL,ACTIVE,4443,3904,894,0.7462390008515469,0.5093632958801498,0.9954496767747899,3552,2420,0.6813063063063063,1.8097560975609757,0.06414584740040513,12787409.94,4203606.67,12819.74,71897.68,8511905.59,0.6656473539159878,946.118989421562,0.046365068647310374,0.014404681521494486,3.2151898734177213,3523,2629,3204,1632
9,CAR03,CNFW,Continental Freightways,FTL,ACTIVE,6343,5575,1222,0.7592592592592593,0.5208968219416631,0.9953583883489779,5043,3451,0.6843148919294071,1.858175248419151,0.05691313258710389,18497431.96,5856108.51,20211.25,133811.10,12507512.35,0.6761756105954072,923.2395569919596,0.046350307425508434,0.016080718902727414,3.419491525423729,5076,3854,4594,2393
10,CAR09,SBDI,Sunbelt Distribution,REGIONAL,ACTIVE,6323,5549,1158,0.7705567663958788,0.6092701342281879,0.9857839015306462,5247,4167,0.7941680960548885,1.8639391056137011,0.05614423533133007,2504590.54,825465.40,18671.35,36129.15,1642995.99,0.6559938495974675,130.54964415625494,0.04444092993832042,0.01850387474300174,3.3697916666666665,5047,3889,4768,2905
