margin_rate_rank,customer_key,legal_name,dba_name,industry,customer_status,annual_volume_tier,primary_bill_to_state,total_shipments,official_kpi_shipments,otd_eligible_shipments,on_time_shipments,late_shipments,on_time_delivery_rate,otif_eligible_shipments,otif_shipments,otif_rate,average_fill_rate,full_fill_eligible_shipments,full_fill_shipments,full_fill_rate,customer_revenue_usd,carrier_cost_usd,claims_paid_usd,gross_margin_usd,gross_margin_percentage,shipments_with_complaints,complaint_rate,shipments_with_claims,claim_rate,average_csat_score,net_promoter_score
1,10004523,Harbor Home Goods Co,Harbor Home,Retail,ACTIVE,MEDIUM,OH,5470,4795,4341,3322,1019,0.7652614604929739,4088,2561,0.6264677103718199,0.9895102197338135,4521,3686,0.8153063481530635,3873468.41,1368092.14,36607.02,2468769.25,0.6373536553509674,242,0.044241316270566725,93,0.0170018281535649,3.26775956284153,-24.043715846994534
2,10004527,TerraNova Outfitters LLC,TerraNova,Outdoor Retail,ACTIVE,MEDIUM,TX,3970,3474,3131,2356,775,0.7524752475247525,2968,1851,0.6236522911051213,0.9852044457691538,3290,2734,0.8310030395136778,2761564.03,936285.58,32011.12,1793267.33,0.6493665584136393,189,0.04760705289672544,66,0.01662468513853904,3.2948717948717947,-17.94871794871795
3,10004536,Pioneer Pet Care LLC,Pioneer Pet,Pet Products,ACTIVE,MEDIUM,OH,3347,2947,2677,2040,637,0.7620470676129997,2541,1572,0.6186540731995277,0.9870053012042673,2798,2240,0.8005718370264474,2428444.15,816189.06,24062.70,1588192.39,0.6539958475059021,143,0.04272482820436212,52,0.015536301165222588,3.315315315315315,-26.126126126126128
4,10004533,Quantum Device Co,Quantum,Technology,ACTIVE,MEDIUM,TX,5446,4768,4336,3356,980,0.7739852398523985,4100,2613,0.6373170731707317,0.9878424195024579,4516,3699,0.8190876882196634,3954902.90,1303052.84,48034.16,2603815.90,0.6583766949120293,253,0.04645611457950789,90,0.01652589056188028,3.3405405405405406,-16.756756756756758
5,10004528,Precision Lab Systems Inc,Precision Lab,Life Sciences,ACTIVE,LOW,NY,2771,2456,2236,1690,546,0.7558139534883721,2133,1305,0.6118143459915611,0.9862857983171534,2337,1907,0.8160034231921267,1985990.79,659099.06,18264.27,1308627.46,0.6589292692540634,121,0.04366654637315049,45,0.01623962468422952,3.325301204819277,-22.89156626506024
6,10004522,BluePeak Electronics Inc,BluePeak,Electronics,ACTIVE,MEDIUM,FL,6296,5521,5036,3857,1179,0.7658856235107228,4782,3002,0.6277708071936429,0.9879998296924776,5239,4282,0.817331551822867,4576403.31,1517845.92,32335.26,3026222.13,0.6612664848369757,326,0.051778907242693774,96,0.015247776365946633,3.3399014778325125,-19.704433497536947
7,10004530,Crescent Beauty Group,Crescent Beauty,Consumer Products,ACTIVE,MEDIUM,TX,4811,4237,3810,2904,906,0.7622047244094489,3608,2256,0.6252771618625277,0.988333997029295,4013,3284,0.8183403937204087,3485073.60,1130937.06,48808.55,2305327.99,0.6614861706220495,229,0.047599251714820205,101,0.020993556433173976,3.3137254901960786,-22.875816993464053
8,10004521,Northstar Medical Supply LLC,Northstar Med,Healthcare,ACTIVE,HIGH,OH,8085,7125,6497,4969,1528,0.7648145297829767,6159,3837,0.6229907452508524,0.9864770522878679,6753,5446,0.8064563897527025,5889281.93,1922164.52,52351.36,3914766.05,0.6647272276197516,397,0.04910327767470624,164,0.02028447742733457,3.3626373626373627,-11.355311355311356
9,10004524,Evergreen Grocers Inc,Evergreen,Food & Beverage,ACTIVE,HIGH,IL,9629,8471,7668,5877,1791,0.7664319248826291,7206,4526,0.6280877046905357,0.9866439196291091,7972,6502,0.8156046161565479,7090940.68,2284912.90,89918.93,4716108.85,0.6650893108303368,426,0.04424135424239277,172,0.01786270640772666,3.305135951661631,-20.241691842900302
10,10004526,BrightPath Learning Corp,BrightPath,Education,ACTIVE,LOW,GA,2039,1785,1617,1267,350,0.7835497835497836,1526,964,0.6317169069462647,0.9837858673148552,1680,1359,0.8089285714285714,1524062.08,491748.88,15594.21,1016718.99,0.6671112701655827,78,0.038254046101029913,34,0.016674840608141245,3.403225806451613,-8.064516129032258
