metric,value,formatted_value
Total shipments,98595,"98,595"
Official KPI shipments,86473,"86,473"
OTD eligible shipments,78452,"78,452"
On-time delivery rate,0.7646204048335288,76.5%
OTIF eligible shipments,74198,"74,198"
OTIF rate,0.6242890643952668,62.4%
Average fill rate,0.9871244759336398,98.7%
Full-fill rate,0.8136614827856025,81.4%
Average days late,1.899061869136682,1.90
Customer revenue,72336827.17,$72.3M
Gross margin,48315921.99,$48.3M
Gross margin rate,0.6679297928903065,66.8%
Complaint rate,0.046300522338861,4.6%
Claim rate,0.0167452710583701,1.7%
Survey response coverage,0.03367310715553527,3.4%
Average CSAT,3.3210843373493977,3.32 / 5
Net promoter score,-18.825301204819276,-18.8
