rate_rank,lane_key,origin_warehouse_id,origin_warehouse_name,destination_city,destination_state,destination_postal,destination_country,total_shipments,official_kpi_shipments,late_shipments,on_time_delivery_rate,otif_rate,average_fill_rate,full_fill_eligible_shipments,full_fill_shipments,full_fill_rate,average_days_late,average_lane_miles,customer_revenue_usd,carrier_cost_usd,accessorial_cost_usd,claims_paid_usd,gross_margin_usd,gross_margin_percentage,carrier_cost_per_shipment,complaint_rate,claim_rate,average_csat_score,otd_eligible_shipments,on_time_shipments,otif_eligible_shipments,otif_shipments
1,WH05|US|UT|Salt Lake City|84101,WH05,New Jersey Metro,Salt Lake City,UT,84101,US,551,485,118,0.728735632183908,0.5558252427184466,0.9890368397910468,457,359,0.7855579868708972,2.0,1949.9000000000137,808662.25,242366.41,1996.19,2745.98,563549.86,0.6968915143497795,439.866442831216,0.0544464609800363,0.016333938294010888,3.176470588235294,435,317,412,229
2,WH04|US|CO|Denver|80202,WH04,Los Angeles Inland,Denver,CO,80202,US,594,524,123,0.7349137931034483,0.5591647331786543,0.9765318400598834,487,387,0.7946611909650924,1.7454545454545454,800.7999999999922,367330.70,127210.89,1838.51,1181.54,238938.27,0.6504718228016335,214.15974747474746,0.04208754208754209,0.013468013468013467,3.625,464,341,431,241
3,WH03|US|FL|Miami|33101,WH03,Atlanta East,Miami,FL,33101,US,842,741,190,0.7142857142857143,0.5687203791469194,0.9871629651716476,707,564,0.7977369165487977,1.8488372093023255,581.5999999999914,418240.41,140799.66,2694.88,3862.33,273578.42,0.6541176162293835,167.22049881235154,0.040380047505938245,0.0166270783847981,3.2222222222222223,665,475,633,360
4,WH01|US|IN|Indianapolis|46204,WH01,Chicago Central,Indianapolis,IN,46204,US,627,545,135,0.7210743801652892,0.5726681127982647,0.9830473460320204,519,409,0.7880539499036608,1.9285714285714286,157.80000000000177,219230.25,68723.18,2488.06,4614.93,145892.14,0.6654744954220506,109.6063476874003,0.05263157894736842,0.019138755980861243,3.3448275862068964,484,349,461,264
5,WH02|US|NC|Charlotte|28202,WH02,Dallas South,Charlotte,NC,28202,US,632,574,128,0.7580340264650284,0.5748987854251012,0.9809920009191126,538,411,0.7639405204460966,2.0427350427350426,958.7000000000007,482088.83,150847.63,2488.28,4775.44,326465.76,0.6771900522980381,238.6829588607595,0.05063291139240506,0.028481012658227847,3.2916666666666665,529,401,494,284
6,WH03|US|TN|Nashville|37203,WH03,Atlanta East,Nashville,TN,37203,US,757,660,158,0.7344537815126051,0.582010582010582,0.9886411528730439,630,512,0.8126984126984127,2.0723684210526314,239.89999999999668,279530.32,85798.80,1653.19,4474.28,189257.24,0.6770544247221553,113.34055482166447,0.043593130779392336,0.017173051519154558,3.4347826086956523,595,437,567,330
7,WH01|US|OH|Columbus|43215,WH01,Chicago Central,Columbus,OH,43215,US,801,710,172,0.7405731523378583,0.5864779874213837,0.9818146174591024,681,539,0.7914831130690162,1.8238993710691824,287.10000000000383,299764.04,115714.53,2420.97,597.37,183452.14,0.6119884826745731,144.46258426966293,0.04744069912609238,0.016229712858926344,3.3181818181818183,663,491,636,373
8,WH01|US|NC|Raleigh|27601,WH01,Chicago Central,Raleigh,NC,27601,US,474,417,101,0.7292225201072386,0.5867052023121387,0.9868732145186303,386,305,0.7901554404145078,1.8764044943820224,645.2999999999943,269793.22,67147.60,1714.47,2808.45,199837.17,0.7407049369142784,141.66160337552745,0.04219409282700422,0.014767932489451477,2.9411764705882355,373,272,346,203
9,WH02|US|MO|Kansas City|64105,WH02,Dallas South,Kansas City,MO,64105,US,376,337,72,0.7662337662337663,0.5874125874125874,0.9881257360786986,313,248,0.792332268370607,1.893939393939394,464.5,180657.01,48601.13,1207.33,1497.68,130558.20,0.722685491141473,129.2583244680851,0.03723404255319149,0.026595744680851064,2.909090909090909,308,236,286,168
10,WH05|US|IL|Chicago|60601,WH05,New Jersey Metro,Chicago,IL,60601,US,1724,1508,368,0.7317784256559767,0.5874233128834356,0.9878454492066164,1433,1162,0.8108862526168876,1.816326530612245,692.900000000003,1026105.53,289971.59,5972.68,11526.91,724607.03,0.7061720347613759,168.1969779582367,0.0382830626450116,0.014501160092807424,3.210526315789474,1372,1004,1304,766
11,WH04|US|WA|Seattle|98101,WH04,Los Angeles Inland,Seattle,WA,98101,US,528,468,111,0.7400468384074942,0.5876543209876544,0.9828238040221497,446,353,0.7914798206278026,1.8942307692307692,966.7000000000081,350131.71,108922.66,2337.98,7672.65,233536.40,0.6669958570733282,206.29291666666668,0.03409090909090909,0.01893939393939394,3.4545454545454546,427,316,405,238
12,WH02|US|TX|San Antonio|78205,WH02,Dallas South,San Antonio,TX,78205,US,583,503,124,0.7339055793991416,0.5886363636363636,0.9848382850885503,476,389,0.8172268907563025,1.8053097345132743,240.19999999999882,212717.69,54413.80,1618.27,5060.38,153243.51,0.7204079265810004,93.33413379073757,0.04974271012006861,0.022298456260720412,3.0,466,342,440,259
13,WH01|US|TN|Nashville|37203,WH01,Chicago Central,Nashville,TN,37203,US,768,670,161,0.7399030694668821,0.5903614457831325,0.9772494781064,629,497,0.7901430842607313,1.9722222222222223,377.0,340690.67,88233.44,1771.73,2551.28,249905.95,0.7335274253327807,114.88729166666667,0.041666666666666664,0.015625,3.4827586206896552,619,458,581,343
14,WH01|US|MN|Minneapolis|55401,WH01,Chicago Central,Minneapolis,MN,55401,US,658,580,138,0.7371428571428571,0.5910931174089069,0.9892722566973979,547,444,0.8117001828153565,1.8656716417910448,353.3999999999961,228827.30,94798.55,1836.81,2069.84,131958.91,0.5766746799879211,144.07074468085108,0.034954407294832825,0.022796352583586626,3.55,525,387,494,292
15,WH02|US|TX|Houston|77002,WH02,Dallas South,Houston,TX,77002,US,913,806,187,0.7424242424242424,0.5921052631578947,0.9864424129044231,758,614,0.8100263852242744,1.8265895953757225,237.10000000000375,330733.00,101901.94,3356.18,4365.15,224465.91,0.6786922079139366,111.61220153340635,0.05147864184008762,0.01642935377875137,3.4838709677419355,726,539,684,405
